日期,确诊人数,治愈人数,死亡人数,密切接触者人数（累计）,医学观察人数（正在）,,,,境外输入确诊人数,境外输入治愈人数,境外输入死亡人数
1/30/2020,132,5,1,,,,,,,,
1/31/2020,156,5,1,,,,,,,,
2/1/2020,183,9,1,,,,,,,,
2/2/2020,212,12,1,,,,,,,,
2/3/2020,228,23,1,,,,,,,,
2/4/2020,253,24,1,,,,,,,,
2/5/2020,274,31,1,,,,,,,,
2/6/2020,297,33,1,,,,,,,,
2/7/2020,315,34,2,1202,,,,,,,
2/8/2020,326,37,2,1419,,,,,,,
2/9/2020,337,44,2,1465,,,,,,,
2/10/2020,342,48,3,1502,,,,,,,
2/11/2020,352,56,3,1539,,,,,,,
2/12/2020,366,68,3,1702,,,,,,,
2/13/2020,372,79,3,1776,,,,,,,
2/14/2020,375,97,4,1843,,,,,,,
2/15/2020,380,105,4,1849,,,,,,,
2/16/2020,381,114,4,1920,,,,,,,
2/17/2020,387,122,4,1967,,,,,,,
2/18/2020,393,145,4,2075,,,,,,,
2/19/2020,395,153,4,2091,,,,,,,
2/20/2020,396,169,4,2095,,,,,,,
2/21/2020,399,178,4,2433,,,,,,,
2/22/2020,399,189,4,2452,,,,,,,
2/23/2020,399,198,4,2484,,,,,,,
2/24/2020,400,215,4,2487,,,,,,,
2/25/2020,400,235,4,2574,,,,,,,
2/26/2020,410,248,5,2658,,,,,,,
2/27/2020,410,257,7,2667,,,,,,,
2/28/2020,411,271,8,2683,,,,,,,
2/29/2020,413,276,8,2690,,,,,,,
3/1/2020,414,282,8,2728,,,,,,,
3/2/2020,414,288,8,2735,,,,,,,
3/3/2020,417,294,8,2796,,,,,,,
3/4/2020,418,297,8,2867,,,,,,,
3/5/2020,422,298,8,2874,,,,,,,
3/6/2020,426,303,8,3545,,,,,,,
3/7/2020,428,308,8,3632,,,,,,,
3/8/2020,428,315,8,3632,,,,,,,
3/9/2020,429,320,8,3650,,,,,,,
3/10/2020,435,326,8,3694,,,,,,,
3/11/2020,435,334,8,3725,,,,,,,
3/12/2020,436,342,8,3739,,,,,,,
3/13/2020,415,349,8,3785,466,,,,22,,
3/14/2020,415,353,8,3797,475,,,,27,,
3/15/2020,415,358,8,3867,441,,,,31,,
3/16/2020,415,366,8,3884,410,,,,40,2,0
3/17/2020,415,369,8,3921,307,,,,43,4,0
3/18/2020,415,373,8,3975,344,,,,64,6,0
3/19/2020,415,378,8,4001,331,,,,70,6,0
3/20/2020,415,385,8,4033,330,,,,84,7,0
3/21/2020,415,391,8,4124,380,,,,97,7,0
3/22/2020,415,392,8,4164,381,,,,107,8,0
3/23/2020,416,392,8,,,,,,138,9,0
3/24/2020,416,392,8,,,,,,143,9,0
3/25/2020,416,392,8,,,,,,149,11,0
3/26/2020,416,394,8,,,,,,153,12,0
