time,number
2020/1/20,5
2020/1/21,14
2020/1/22,22
2020/1/23,26
2020/1/24,36
2020/1/25,51
2020/1/26,68
2020/1/27,80
2020/1/28,91
2020/1/29,111
2020/1/30,132
2020/1/31,156
2020/2/1,183
2020/2/2,212
2020/2/3,228
2020/2/4,253
2020/2/5,274
2020/2/6,297
2020/2/7,315
2020/2/8,326
2020/2/9,337
2020/2/10,342
2020/2/11,352
2020/2/12,366
2020/2/13,372
2020/2/14,375
2020/2/15,380
2020/2/16,381
2020/2/17,387
2020/2/18,393
2020/2/19,395
2020/2/20,396
2020/2/21,399
2020/2/22,399
2020/2/23,399
2020/2/24,400
2020/2/25,400
2020/2/26,410
2020/2/27,410
2020/2/28,411
2020/2/29,413
2020/3/1,414
2020/3/2,414
2020/3/3,417
2020/3/4,418
2020/3/5,422
2020/3/6,426
2020/3/7,428
2020/3/8,428
2020/3/9,429
2020/3/10,435
2020/3/11,435
2020/3/12,436
2020/3/13,415
2020/3/14,415
2020/3/15,415
2020/3/16,415
2020/3/17,415
2020/3/18,415
2020/3/19,415
2020/3/20,415
2020/3/21,415
2020/3/22,415
2020/3/23,416
2020/3/24,416
2020/3/25,416
2020/3/26,416
